Fecha,Mes,Punto de Muestreo,Analito,Resultado numérico,Cumplimiento,,AÑO,Analito (Limpio),,,Muestras Totales,72
5/3/2026,marzo,Sector envasado granel,"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,MNPC,2026,Aerobios mesófilos totales (ufc/placa),,,,
5/3/2026,marzo,Sector envasado retail ,"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,MNPC,2026,Aerobios mesófilos totales (ufc/placa),,,,
5/3/2026,marzo,Sector producción grageados,"Aerobios mesófilos totales
(ufc/placa)",1,Dentro de límite,1,2026,Aerobios mesófilos totales (ufc/placa),,,,
5/3/2026,marzo,Sector preparación de insumos ,"Hongos y Levaduras
(ufc/placa)",61,Dentro de límite,61,2026,Hongos y Levaduras (ufc/placa),,,,
5/3/2026,marzo,Sector producción granolas (frente las pailas),"Hongos y Levaduras
(ufc/placa)",36,Dentro de límite,36,2026,Hongos y Levaduras (ufc/placa),,,,
5/3/2026,marzo,Enfriador granolas,"Hongos y Levaduras
(ufc/placa)",7,Dentro de límite,7,2026,Hongos y Levaduras (ufc/placa),,,,
5/3/2026,marzo,Sector envasado granel,"Hongos y Levaduras
(ufc/placa)",31,Dentro de límite,31,2026,Hongos y Levaduras (ufc/placa),,,,
5/3/2026,marzo,Sector envasado retail ,"Hongos y Levaduras
(ufc/placa)",26,Dentro de límite,26,2026,Hongos y Levaduras (ufc/placa),,,,
5/3/2026,marzo,Sector producción grageados,"Hongos y Levaduras
(ufc/placa)",12,Dentro de límite,12,2026,Hongos y Levaduras (ufc/placa),,,,
19/03/2026,marzo,Sector preparación de insumos ,"Aerobios mesófilos totales
(ufc/placa)",118,Fuera de límite,118,2026,Aerobios mesófilos totales (ufc/placa),,,,
19/03/2026,marzo,Sector producción granolas (frente las pailas),"Aerobios mesófilos totales
(ufc/placa)",104,Fuera de límite,104,2026,Aerobios mesófilos totales (ufc/placa),,,,
19/03/2026,marzo,Enfriador granolas,"Aerobios mesófilos totales
(ufc/placa)",1,Dentro de límite,1,2026,Aerobios mesófilos totales (ufc/placa),,,,
19/03/2026,marzo,Sector envasado granel,"Aerobios mesófilos totales
(ufc/placa)",109,Fuera de límite,109,2026,Aerobios mesófilos totales (ufc/placa),,,,
19/03/2026,marzo,Sector envasado retail ,"Aerobios mesófilos totales
(ufc/placa)",97,Dentro de límite,97,2026,Aerobios mesófilos totales (ufc/placa),,,,
19/03/2026,marzo,Sector producción grageados,"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,0,2026,Aerobios mesófilos totales (ufc/placa),,,,
19/03/2026,marzo,Sector preparación de insumos ,"Hongos y Levaduras
(ufc/placa)",42,Dentro de límite,42,2026,Hongos y Levaduras (ufc/placa),,,,
19/03/2026,marzo,Sector producción granolas (frente las pailas),"Hongos y Levaduras
(ufc/placa)",22,Dentro de límite,22,2026,Hongos y Levaduras (ufc/placa),,,,
19/03/2026,marzo,Enfriador granolas,"Hongos y Levaduras
(ufc/placa)",8,Dentro de límite,8,2026,Hongos y Levaduras (ufc/placa),,,,
19/03/2026,marzo,Sector envasado granel,"Hongos y Levaduras
(ufc/placa)",30,Dentro de límite,30,2026,Hongos y Levaduras (ufc/placa),,,,
19/03/2026,marzo,Sector envasado retail ,"Hongos y Levaduras
(ufc/placa)",15,Dentro de límite,15,2026,Hongos y Levaduras (ufc/placa),,,,
19/03/2026,marzo,Sector producción grageados,"Hongos y Levaduras
(ufc/placa)",0,Dentro de límite,0,2026,Hongos y Levaduras (ufc/placa),,,,
9/4/2026,abril,Sector preparación de insumos ,"Aerobios mesófilos totales
(ufc/placa)",16,Dentro de límite,16,2026,Aerobios mesófilos totales (ufc/placa),,,,
9/4/2026,abril,Sector producción granolas (frente las pailas),"Aerobios mesófilos totales
(ufc/placa)",16,Dentro de límite,16,2026,Aerobios mesófilos totales (ufc/placa),,,,
9/4/2026,abril,Enfriador granolas,"Aerobios mesófilos totales
(ufc/placa)",2,Dentro de límite,2,2026,Aerobios mesófilos totales (ufc/placa),,,,
9/4/2026,abril,Sector envasado granel,"Aerobios mesófilos totales
(ufc/placa)",9,Dentro de límite,9,2026,Aerobios mesófilos totales (ufc/placa),,,,
9/4/2026,abril,Sector envasado retail ,"Aerobios mesófilos totales
(ufc/placa)",9,Dentro de límite,9,2026,Aerobios mesófilos totales (ufc/placa),,,,
9/4/2026,abril,Sector producción grageados,"Aerobios mesófilos totales
(ufc/placa)",50,Dentro de límite,50,2026,Aerobios mesófilos totales (ufc/placa),,,,
9/4/2026,abril,Sector preparación de insumos ,"Hongos y Levaduras
(ufc/placa)",44,Dentro de límite,44,2026,Hongos y Levaduras (ufc/placa),,,,
9/4/2026,abril,Sector producción granolas (frente las pailas),"Hongos y Levaduras
(ufc/placa)",13,Dentro de límite,13,2026,Hongos y Levaduras (ufc/placa),,,,
9/4/2026,abril,Enfriador granolas,"Hongos y Levaduras
(ufc/placa)",10,Dentro de límite,10,2026,Hongos y Levaduras (ufc/placa),,,,
9/4/2026,abril,Sector envasado granel,"Hongos y Levaduras
(ufc/placa)",46,Dentro de límite,46,2026,Hongos y Levaduras (ufc/placa),,,,
9/4/2026,abril,Sector envasado retail ,"Hongos y Levaduras
(ufc/placa)",43,Dentro de límite,43,2026,Hongos y Levaduras (ufc/placa),,,,
9/4/2026,abril,Sector producción grageados,"Hongos y Levaduras
(ufc/placa)",49,Dentro de límite,49,2026,Hongos y Levaduras (ufc/placa),,,,
